ur20-shoulder_pan_joint,ur20-shoulder_lift_joint,ur20-elbow_joint,ur20-wrist_1_joint,ur20-wrist_2_joint,ur20-wrist_3_joint
0.14135404,-0.38474655,1.3273921,0.9113584,2.4277592,1.9383342
0.14241022,-0.36521968,1.3019794,0.94407904,2.410832,1.9770842
0.13854522,-0.36608586,1.2970699,0.93763816,2.3745942,1.9737922
0.13909662,-0.3621405,1.291439,0.97341174,2.4097621,2.004646
0.13586088,-0.35942546,1.2820367,0.9988173,2.4082053,2.0282757
0.13641809,-0.3715603,1.2993945,0.97497886,2.4196212,2.0014377
0.13126414,-0.37826633,1.2993032,0.99715227,2.427815,2.0175068
0.12781759,-0.37819302,1.2933153,1.0202532,2.428665,2.0380485
0.12443941,-0.37882498,1.2886409,1.0424991,2.4297163,2.0580435
0.120160215,-0.36503834,1.2633986,1.094053,2.4163175,2.110747
0.120970145,-0.35564452,1.2520913,1.1033047,2.4068322,2.123181
0.12139687,-0.34328973,1.2361109,1.119324,2.394337,2.1429603
0.124896444,-0.34575507,1.244998,1.0922176,2.3968508,2.1174045
0.12682651,-0.33614612,1.2350482,1.093938,2.38722,2.1230428
0.12875731,-0.33004203,1.2298307,1.0902693,2.3811202,2.1222858
0.13180262,-0.32874942,1.2332747,1.0730462,2.3792102,2.1080446
0.13554431,-0.33223042,1.2444981,1.044095,2.3818197,2.0811646
0.13292517,-0.3428278,1.2544057,1.0442603,2.3928726,2.076112
0.13145338,-0.35185653,1.2641029,1.0393809,2.4021256,2.0674055
0.12996668,-0.36073813,1.2735184,1.0346332,2.411245,2.058863
0.12537743,-0.3589651,1.2635878,1.0683613,2.410021,2.0901043
0.11675872,-0.33835232,1.2228091,1.1523851,2.3882868,2.1744943
0.11496929,-0.34365827,1.2272815,1.1559294,2.393498,2.1753721
0.11187557,-0.3450264,1.2249125,1.1726834,2.3935394,2.1903996
0.10410847,-0.34596303,1.2145665,1.1923183,2.3710098,2.2102003
0.10768473,-0.3271024,1.1955813,1.2178267,2.3723774,2.238581
0.11209449,-0.32461858,1.198139,1.1949543,2.3719864,2.218431
0.11659412,-0.32554924,1.205602,1.1685554,2.3745894,2.1943045
0.12016563,-0.3234142,1.2078341,1.151496,2.3732176,2.1801329
0.12339371,-0.31858182,1.2059985,1.1395178,2.3689039,2.1715393
0.12403779,-0.30942383,1.1946434,1.1467315,2.3594172,2.1818254
0.12328242,-0.29871213,1.1791229,1.1631225,2.347943,2.2009115
0.11876569,-0.3060521,1.182593,1.1792356,2.3544352,2.2120824
0.11755529,-0.29490164,1.1658343,1.1982483,2.3422718,2.2335753
0.11741341,-0.28529307,1.1525965,1.2095248,2.3320735,2.2475522
0.11244662,-0.28734833,1.1484169,1.2337842,2.3326714,2.2678623
0.11012454,-0.27535126,1.1288581,1.2588589,2.3191004,2.2947786
0.10759927,-0.28173494,1.1342705,1.2665277,2.3243058,2.2995114
0.106461614,-0.28847688,1.1419716,1.2660347,2.3307235,2.2966561
0.1040712,-0.29307362,1.1451972,1.27388,2.3341053,2.3020976
0.097913556,-0.2908871,1.1349726,1.304314,2.3276157,2.3301504
0.09463401,-0.29182285,1.1324228,1.3192286,2.326058,2.343397
0.08916859,-0.29356262,1.1286154,1.345049,2.322796,2.3669002
0.08657497,-0.28134727,1.1092952,1.3669461,2.3075068,2.3908498
0.08805703,-0.2754857,1.1030166,1.3640347,2.302803,2.3899436
0.09009177,-0.2704438,1.0984459,1.3578233,2.2994995,2.385718
0.092171974,-0.26189148,1.089124,1.3539876,2.2926388,2.3846955
0.0933554,-0.25471553,1.0807203,1.3541545,2.2859547,2.3873832
0.09674352,-0.2510443,1.0796771,1.341705,2.2844956,2.377736
0.09139412,-0.23826167,1.0558509,1.3755958,2.2673745,2.4119995
0.085749835,-0.6022188,1.6318809,-1.9578758,-2.258921,-0.7035695
0.08430682,-0.59505713,1.62124,-1.9482576,-2.247991,-0.6906651
0.08698612,-0.6099888,1.6433233,-1.9684922,-2.270405,-0.7175657
0.08540669,-0.6173515,1.6471881,-1.9616477,-2.2763758,-0.7175924
0.07838587,-0.6197232,1.633742,-1.9245437,-2.2672253,-0.69044095
0.079175316,-0.6286875,1.644718,-1.9313512,-2.2792342,-0.7023
0.07993623,-0.640586,1.6586628,-1.9391214,-2.2947655,-0.7169839
0.081720576,-0.651527,1.6747556,-1.9546996,-2.311165,-0.7368238
0.071344435,-0.65640473,1.6698676,-1.9569631,-2.2792602,-0.73142993
0.071156025,-0.63682985,1.6346532,-1.8893003,-2.2739255,-0.67517793
0.067316525,-0.64144963,1.6303706,-1.8686378,-2.2717395,-0.66224563
0.0679268,-0.6280328,1.6185205,-1.8697408,-2.257852,-0.6537133
0.071825795,-0.6248975,1.6243308,-1.8908572,-2.261836,-0.6680918
0.071820475,-0.61769414,1.6171325,-1.8895494,-2.2537735,-0.6620152
0.0760785,-0.6103685,1.619043,-1.9099236,-2.2522943,-0.67222685
0.073605925,-0.5981726,1.6011282,-1.8940535,-2.2338557,-0.6509105
0.07257748,-0.58926374,1.5897557,-1.8866504,-2.2217374,-0.6385159
0.07534131,-0.5848637,1.591181,-1.8995962,-2.2210736,-0.6450778
0.06840859,-0.6011531,1.5928789,-1.8681192,-2.2288525,-0.63343996
0.06678398,-0.60933596,1.5973834,-1.8605117,-2.234847,-0.63330775
0.062012248,-0.6119926,1.5893146,-1.8350227,-2.2288768,-0.6154832
0.061424773,-0.6184524,1.5943663,-1.8327235,-2.234962,-0.6183249
0.06033875,-0.62506706,1.5984266,-1.827742,-2.2403193,-0.6192241
0.05516846,-0.62899685,1.5918385,-1.8035651,-2.2355123,-0.60341656
0.05006681,-0.6311785,1.583788,-1.7791486,-2.227773,-0.58557385
0.046474922,-0.61926997,1.5661585,-1.7639505,-2.2086008,-0.56532073
0.045051407,-0.60898334,1.5541768,-1.7587868,-2.195337,-0.5540297
0.041100256,-0.59951633,1.5380986,-1.7419585,-2.1781645,-0.53422517
0.040265728,-0.5918124,1.5295451,-1.7392638,-2.1687496,-0.5266423
0.039643098,-0.5826815,1.5200642,-1.7377431,-2.1583135,-0.5189259
0.044495534,-0.5792845,1.5258162,-1.759174,-2.1634066,-0.53290176
0.048265748,-0.5882907,1.5410701,-1.7746373,-2.1794086,-0.55138844
0.05083393,-0.5987799,1.5556046,-1.7852832,-2.1951258,-0.5673206
0.053236183,-0.60760087,1.5682696,-1.7953565,-2.2088127,-0.58156955
0.060684483,-0.5993404,1.573917,-1.8264356,-2.2124643,-0.599831
0.06485635,-0.5908896,1.5746938,-1.8474715,-2.2108521,-0.6099841
0.056015767,-0.5886982,1.5553296,-1.8067389,-2.192871,-0.57654727
0.053103782,-0.5745578,1.5365788,-1.7945353,-2.172601,-0.5565546
0.054611567,-0.5753821,1.549272,-1.8401296,-2.163504,-0.5813528
0.04888522,-0.56560117,1.5204976,-1.7771802,-2.1558704,-0.5364265
0.04349827,-0.56724614,1.5125817,-1.7551924,-2.1487615,-0.5208726
0.038465474,-0.5697021,1.5059661,-1.7342433,-2.142993,-0.5068874
